id_employee,name,surname,cpf,status,role,initial_date,end_date,store_id
643,Antonella,da Cruz,938.507.461-00,ativo,gerente,14/12/2007,,MG_21
924,Carlos Eduardo,Alves,501.639.827-59,ativo,vendedor,29/09/2014,,MG_21
567,Ana Sophia,Ramos,980.413.526-42,ativo,vendedor,03/04/2006,,MG_21
660,Marcela,Brito,859.163.742-91,ativo,vendedor,14/03/2003,,MG_21
297,Leonardo,Porto,652.341.890-15,ativo,vendedor,27/06/2021,,MG_23
523,Heitor,Sales,472.395.061-34,ativo,vendedor,11/09/2021,,MG_23
264,Igor,Gonçalves,407.395.126-25,ativo,vendedor,12/08/2002,,MG_23
834,Luara,Mendonça,126.579.348-46,ativo,gerente,25/03/2007,,MG_23
693,Samuel,Moreira,164.839.752-28,ativo,vendedor,08/10/2007,,MG_24
417,Olívia,Gonçalves,692.451.370-07,ativo,vendedor,02/02/2013,,MG_24
450,Liz,Almeida,394.058.761-39,ativo,gerente,30/03/2018,,MG_24
900,Anthony,Ribeiro,045.328.916-98,ativo,vendedor,29/10/2024,,MG_24
898,João Pedro,Lima,712.095.843-79,ativo,vendedor,28/09/2015,,MG_26
292,Ana Julia,Jesus,603.742.198-69,ativo,vendedor,25/12/2011,,MG_26
990,Luísa,Aparecida,718.542.639-19,ativo,vendedor,29/09/2007,,MG_26
246,Liam,Borges,019.678.543-00,ativo,gerente,18/11/2010,,MG_26
837,Anthony Gabriel,Sá,948.561.307-57,ativo,vendedor,03/11/2005,,MG_29
766,Vitor Gabriel,Leão,296.154.038-06,ativo,vendedor,22/06/2024,,MG_29
665,Stella,Sá,096.218.357-12,ativo,vendedor,15/07/2008,,MG_29
130,Benjamim,Pimenta,726.904.158-01,ativo,gerente,03/02/2017,,MG_29
692,Pedro Lucas,Rocha,618.203.954-05,ativo,gerente,19/06/2005,,MG_34
47,Bárbara,Sales,751.648.293-55,ativo,vendedor,15/06/2012,,MG_34
178,Maria Fernanda,Marques,756.931.420-43,ativo,vendedor,18/04/2009,,MG_34
805,Davi Lucca,Leão,546.801.923-05,ativo,vendedor,31/08/2013,,MG_34
536,Rael,Gonçalves,350.842.619-05,ativo,gerente,28/02/2021,,MG_36
273,Emilly,Vasconcelos,809.145.237-32,ativo,vendedor,05/05/2019,,MG_36
628,João Guilherme,Aparecida,387.921.065-95,ativo,vendedor,03/12/2022,,MG_36
317,João Guilherme,Dias,382.904.765-74,ativo,vendedor,11/11/2008,,MG_36
503,Davi Miguel,Campos,051.876.942-94,ativo,gerente,11/02/2017,,MG_37
688,Caroline,Vargas,904.176.832-78,ativo,vendedor,07/09/2011,,MG_37
661,Rodrigo,da Cruz,385.627.941-55,ativo,vendedor,17/10/2014,,MG_37
705,Hellena,Aragão,087.293.651-12,ativo,vendedor,15/04/2021,,MG_37
722,Larissa,Costa,258.146.379-19,ativo,vendedor,12/10/2015,,MG_39
543,Sophie,Ferreira,354.762.901-25,ativo,vendedor,25/06/2024,,MG_39
986,Antonella,Cirino,026.714.359-16,ativo,vendedor,16/11/2021,,MG_39
